Event Number,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
190,0,0.0,35,2.7285766955837536,False
191,0,0.0,35,0.3092984518967756,False
192,1,4.886372471236291,51,5.7053993838493815,False
193,1,6.663547176635149,64,7.290619871403473,False
194,0,0.0,57,1.354719204121349,False
195,0,246.3349222945471,57,16.313691128431028,False
196,0,0.0,34,0.9672966486663295,False
197,0,2.1132739728087553,14,1.0556537782620132,False
198,0,0.0,51,3.3114684657012416,False
199,0,0.0,54,2.2666232822572248,False
200,0,4.1444415261009935,56,5.539342190722537,False
201,0,3.196440452692447,54,4.534265525964707,False
202,0,0.0,59,7.927530448086616,False
203,0,0.0,55,3.9004144057652694,False
204,0,0.0,27,0.2589704538512766,False
205,1,0.0,44,2.0906101016733443,False
206,0,12.921030774983826,49,14.021057276197249,False
207,0,8.20304875757014,65,7.551150612292266,False
208,0,0.0,20,1.2942444029597318,False
209,3,4.792559219197773,41,0.601099734646869,False
210,1,0.0,47,3.196293623973361,False
211,1,11.140567697027416,55,10.255004585995495,False
212,1,3.961104791003243,81,3.3892170394419363,False
213,0,40.43972650358943,46,9.874497102962286,False
214,0,2.181074849445772,33,1.5928845329914347,False
215,2,0.0,43,1.7354893333819412,False
216,0,0.0,42,1.9304250664922473,False
217,0,0.0,43,3.101226231301171,False
218,0,1.660018512382387,30,4.106997860010888,False
219,2,21.975325163529234,45,12.762380109615684,False
220,0,11.201103243300654,49,7.484261925741116,False
221,0,0.0,44,2.818115078056566,False
222,2,0.0,27,0.8941718646852751,False
223,1,37.047542009277066,47,6.3398732754213265,False
224,0,2.2403273921419835,67,6.3480995939864,False
225,0,0.0,38,5.384422671174751,False
226,0,8.235798560327774,51,8.346895595037651,False
227,0,1.6704066986402044,67,2.966297313989268,False
228,0,3.93665047680992,41,1.208481300184866,False
229,0,5.899184817540856,57,6.288180511423271,False
230,0,0.0,59,7.587248324607131,False
231,0,87.12944427774073,46,11.41308800149039,False
232,0,0.0,33,1.0455157880620025,False
233,0,0.0,30,0.7300743709015384,False
234,2,0.0,34,1.0385474213780168,False
235,1,3.149073829328851,44,4.548996935225084,False
236,0,0.0,63,6.910502976508191,False
237,0,0.0,39,0.7015473962057523,False
238,0,0.0,30,5.636371621129177,False
239,0,1.7288506692628611,55,2.206055500633041,False
240,2,0.0,48,1.5082070778138417,False
241,0,111.31781570343531,47,5.645532120530727,False
242,0,0.0,69,3.7002070875380553,False
243,0,0.0,43,1.420047738520023,False
244,0,0.0,39,0.964625540664488,False
245,0,0.0,36,5.582965018320259,False
246,0,33.63774246401534,80,5.145924996909843,False
247,0,0.0,49,6.823717561094822,False
248,0,0.0,45,2.4889156961868513,False
249,0,0.0,55,7.4722763866858894,False
250,0,0.0,46,11.416349369962898,False
251,0,27.609831218324576,36,9.933012860307958,False
252,0,0.0,33,3.217586595135675,False
253,0,0.0,39,6.87956083437594,False
254,0,0.0,51,5.110874203488503,False
255,3,6.28328383382032,54,5.722424000558384,False
256,0,0.0,36,0.38298731170762207,False
