Event Number,HT,MET,MR,Rsq,Invariant Mass,Sum E_T,Centrality,Sphericity,Aplanarity,Cos(Theta) Jet-MET,Delta R (Avg),Jet Multiplicity,Lepton Multiplicity,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
51,79.17159033295884,0.0,14000.000000047534,0.0,14000.000000047534,79.17159033295884,0.005655113595192145,55.057943419293515,26.235600206086893,0.0,4.9718969422577555,114,0,0,0.0,32,9.195376139176783,False
52,257.5677846616698,0.0,13999.999999971595,0.0,13999.999999971595,257.5677846616698,0.018397698904442313,93.45286296564126,40.040442394481694,0.0,4.837347269017955,215,0,0,0.0,21,17.876787585108655,False
53,79.66007986317398,0.0,13999.99999984963,0.0,13999.99999984963,79.66007986317398,0.005690005704573542,58.32153917319691,28.74735767495581,0.0,5.203911660014011,106,0,0,0.0,42,3.3918153735761365,False
54,38.62276739162467,0.0,14000.000000008578,0.0,14000.000000008578,38.62276739162467,0.002758769099400072,14.921556791423383,5.577085787796585,0.0,6.446685629326479,64,2,0,7.7424244969692975,24,1.3905353420156297,False
55,21.133128395792237,0.0,13999.999999995516,0.0,13999.999999995516,21.133128395792237,0.0015095091711285005,8.562482726217219,2.1688666227076467,0.0,6.648871300854753,41,0,0,0.0,29,2.0167355037614367,False
56,116.49612562640924,0.0,14000.000000093383,0.0,14000.000000093383,116.49612562640924,0.008321151830402298,53.0272465461301,23.619732786274255,0.0,5.042055216305568,132,2,1,0.0,26,8.05958961504733,False
57,78.36396460995168,0.0,14000.00000095954,0.0,14000.00000095954,78.36396460995168,0.005597426043184337,46.97953616020674,22.45592638945716,0.0,5.574931377595003,93,0,0,0.0,35,6.878879945505149,False
58,37.69262858463836,0.0,14000.000000000002,0.0,14000.000000000002,37.69262858463836,0.002692330613188454,34.142571543691645,12.260526990480912,0.0,5.2106358902480405,56,0,0,0.0,28,1.7671149050494297,False
59,228.5030206140968,0.0,14000.000000061971,0.0,14000.000000061971,228.5030206140968,0.016321644329506096,116.22609227482448,51.733711822884935,0.0,4.89267639280122,268,0,0,0.0,15,16.017684669538788,False
60,236.08819314725815,0.0,13999.999999961063,0.0,13999.999999961063,236.08819314725815,0.016863442367708197,108.80238688871258,50.47511606369368,0.0,4.81162274297564,231,2,0,29.48822282678777,24,15.470751854513136,False
61,66.22279503343765,0.0,14000.00000000336,0.0,14000.00000000336,66.22279503343765,0.004730199645244411,60.49979768340454,27.692226660349974,0.0,4.895479364435343,103,2,0,53.156095301311325,40,5.081917197527145,False
62,117.65835953129137,0.0,14000.000000032578,0.0,14000.000000032578,117.65835953129137,0.008404168537929827,64.17526388817052,28.226935836476514,0.0,5.324903376573351,173,2,0,2.2821400750994556,25,9.275545029641538,False
63,69.3576059721518,0.0,14000.000000745054,0.0,14000.000000745054,69.3576059721518,0.004954114712032908,26.85468200917283,9.343566209920604,0.0,5.869963050943087,95,0,0,0.0,26,6.526550457649642,False
64,33.96808410742584,0.0,14000.000000062888,0.0,14000.000000062888,33.96808410742584,0.0024262917219480895,18.744178731529455,6.788589062836969,0.0,6.3742102395317755,48,0,0,0.0,37,1.4729884759298375,False
65,158.36488799453613,0.0,13999.999999998632,0.0,13999.999999998632,158.36488799453613,0.011311777713896543,106.99585085414165,39.83905064181911,0.0,4.931880248654055,179,0,0,0.0,25,18.202630186782514,False
66,252.25583490529118,1.7891569363345348,13932.549932038342,9.300117425927777e-06,13932.549817160607,252.25583490529118,0.01810530319323778,147.4088825598576,58.944973343133164,0.8908302112587511,4.463612517354471,237,9,0,17.36249305673526,15,16.36251494524182,False
67,194.6092714159906,0.0,13999.999998825342,0.0,13999.999998825342,194.6092714159906,0.013900662245165653,107.49234773615967,41.623665881030455,0.0,4.680863225681669,197,2,0,148.56669255496934,28,14.484312909441833,False
68,28.6056481711606,0.0,13999.999999995263,0.0,13999.999999995263,28.6056481711606,0.00204326058365502,7.212233018317113,2.748797108733611,0.0,6.605763695605385,42,0,0,0.0,27,2.3868903918942874,False
69,39.82533185110995,0.0,13999.999999999762,0.0,13999.999999999762,39.82533185110995,0.0028446665607936164,43.599462223798035,19.49955708388111,0.0,5.943027779792259,68,0,0,0.0,46,2.299557490954804,False
70,293.02383377593384,0.0,14000.000000152486,0.0,14000.000000152486,293.02383377593384,0.02093027384091016,123.17013469777612,56.662581942112936,0.0,4.85651263707831,256,3,0,66.07537097704238,21,16.05104049607876,False
71,29.378462942406948,0.0,13999.999999999998,0.0,13999.999999999998,29.378462942406948,0.0020984616387433536,23.447880235391317,10.532878959816625,0.0,5.71388464980886,50,2,0,2.871603480990313,29,1.927614848261021,False
72,38.96155339918039,0.0,14000.00000000028,0.0,14000.00000000028,38.96155339918039,0.0027829680999414005,37.29557925046571,16.76875847552754,0.0,5.358911550137001,76,0,0,0.0,29,5.4579748193584186,False
73,80.78855470001827,0.0,14000.000000260434,0.0,14000.000000260434,80.78855470001827,0.005770611049893957,69.80793286445493,29.397307963238195,0.0,4.5123288118899785,95,0,0,0.0,26,9.106359002394756,False
74,35.12195657274625,0.0,13999.999999999935,0.0,13999.999999999935,35.12195657274625,0.002508711183767601,19.457470014485274,6.354262955344781,0.0,5.656323532064774,61,0,0,0.0,16,2.784762641780066,False
75,36.10749305709844,0.0,13999.999999963195,0.0,13999.999999963195,36.10749305709844,0.002579106646942383,7.978591889621427,3.224881165569293,0.0,6.3847737635079165,62,1,0,104.72293801321081,16,2.6914070504281282,False
76,48.31068341756854,0.0,13999.99999999998,0.0,13999.99999999998,48.31068341756854,0.0034507631012549007,22.66355006853772,9.340112289510795,0.0,5.734993996611808,68,2,0,10.241887232609457,34,4.268939545858665,False
77,123.2591042376504,0.0,13999.999999647776,0.0,13999.999999647776,123.2591042376504,0.008804221731482247,52.680012457965816,17.42839142969366,0.0,5.554504562353553,141,0,0,0.0,25,14.739361312213497,False
78,279.6269152383074,0.0,14000.000000002328,0.0,14000.000000002328,279.6269152383074,0.019973351088447205,200.70063266847285,84.78863630899978,0.0,4.50024240743287,287,6,1,26.708310426727326,22,21.3416012595119,False
79,194.3579304907599,0.0,13999.99999937689,0.0,13999.99999937689,194.3579304907599,0.013882709321386454,113.24141131539719,50.91572553284585,0.0,4.8329439283545454,219,6,1,3.7090755206704156,23,12.060678999693733,False
80,64.16255617799698,0.0,14000.000004352769,0.0,14000.000004352769,64.16255617799698,0.004583039725574862,46.83710970492107,22.767412307929906,0.0,4.772391759867515,94,0,0,0.0,23,3.0700468773665626,False
81,68.32617588093188,0.0,13999.999997870797,0.0,13999.999997870797,68.32617588093188,0.004880441135094524,32.929953670951406,14.62068931222135,0.0,5.682908883945032,82,0,0,0.0,19,5.399202256202731,False
82,27.254555040838472,0.0,14000.00000001392,0.0,14000.00000001392,27.254555040838472,0.0019467539314865267,11.62518291296525,3.21281043456832,0.0,6.303831247771942,42,0,0,0.0,21,2.257246006115667,False
83,34.87272780781738,0.0,14000.00000000001,0.0,14000.00000000001,34.87272780781738,0.002490909129129811,13.549809238722274,6.491400331408137,0.0,6.180313857652561,50,2,1,0.0,25,2.5419148533675835,False
84,236.60784308428526,0.0,14000.000000002856,0.0,14000.000000002856,236.60784308428526,0.016900560220302643,150.01194461726257,69.55471488171784,0.0,4.399051885234647,206,0,0,0.0,32,23.06528745851481,False
85,85.71939855550833,0.0,14000.000004731513,0.0,14000.000004731513,85.71939855550833,0.006122814180467011,72.58975524111897,31.551273806650983,0.0,5.112557867443923,144,4,1,13.130234908516401,20,6.432818342492183,False
86,111.99473076173304,0.0,13999.999999935648,0.0,13999.999999935648,111.99473076173304,0.007999623625874846,71.44924026003636,27.175377316338306,0.0,4.9061408304363745,114,0,0,0.0,33,6.918313124908812,False
87,98.58253155829732,0.0,13999.999999816615,0.0,13999.999999816615,98.58253155829732,0.007041609397113475,38.89222192301952,16.143292690071057,0.0,5.295415789733595,117,4,1,67.93422989923842,20,8.523669315524321,False
88,25.45953229061404,1.4528295552520087,13997.778087633176,7.5510417285365e-07,13997.778012238578,25.45953229061404,0.0018188266700358553,14.68747768928778,4.0949975446722675,0.28532457948976686,5.921920991041274,32,1,0,0.0,34,1.0390095981621885,False
89,233.04706982199735,0.7341068068264021,13995.346806710608,3.493780040655954e-06,13995.346787457323,233.04706982199735,0.016651752935058536,147.1415110219109,58.48240004073958,0.9976351331189255,4.835678610635546,219,6,0,22.77496682175836,25,26.81621198432885,False
90,86.06305093695813,0.0,13999.999999994032,0.0,13999.999999994032,86.06305093695813,0.006147360781213916,51.379919445396865,23.774200878677455,0.0,5.196559627729699,126,0,0,0.0,34,8.336499819858085,False
91,24.94193680627851,0.0,13999.999999999836,0.0,13999.999999999836,24.94193680627851,0.0017815669147342001,10.13681534970806,2.460247552734782,0.0,6.410139372632425,35,0,0,0.0,22,0.4658612732282862,False
92,342.3218752101161,0.0,13999.999996739061,0.0,13999.999996739061,342.3218752101161,0.024451562520703653,202.9498941819897,100.50119618136661,0.0,4.418365259278949,356,3,0,167.3992210435918,10,29.39046275271668,False
93,105.72015630031825,0.0,14000.000000797292,0.0,14000.000000797292,105.72015630031825,0.007551439735306967,54.6428684279415,24.09242623723081,0.0,5.333784747905047,133,0,0,0.0,29,7.080163959794735,False
94,230.21408339178717,0.0,14000.000001016144,0.0,14000.000001016144,230.21408339178717,0.016443863098219845,41.245932721097404,18.606678192469182,0.0,4.955468144236136,135,2,0,4.6896608064447385,23,19.8693916858872,False
95,44.620177980165316,0.0,14000.000000064354,0.0,14000.000000064354,44.620177980165316,0.0031871555699971577,33.2230513494889,13.175908224577718,0.0,5.524422386555242,68,0,0,0.0,30,6.275776609544388,False
96,190.83846544794778,0.0,14000.000000137092,0.0,14000.000000137092,190.83846544794778,0.013631318960434216,104.38332420302649,43.72374587996366,0.0,4.703309976501025,221,2,0,18.216093121853852,16,13.092129566958567,False
97,43.86534246432089,0.0,14000.000000213566,0.0,14000.000000213566,43.86534246432089,0.0031332387474036954,28.535887774630833,12.825734485063395,0.0,4.997637649330315,56,0,0,0.0,25,5.572530082035073,False
98,302.2624181054245,0.0,14000.000000042683,0.0,14000.000000042683,302.2624181054245,0.021590172721750213,137.5133494991488,63.78619592489924,0.0,4.765048953935477,281,2,0,24.94017960104466,15,26.364838491328328,False
99,285.2624935020578,1.0101459069838403,13994.70213941312,5.885203098580013e-06,13994.702102956653,285.2624935020578,0.02038360452194921,161.61109796822413,71.07139108042674,-0.35523996004258407,4.653230123906491,262,7,0,28.196890893914535,20,34.94409119996076,False
100,177.65911056678758,0.0,14000.000000230226,0.0,14000.000000230226,177.65911056678758,0.012689936468847572,108.67734942526019,46.5405379316761,0.0,4.969190313360753,218,6,0,5.220099010043219,29,12.200118000105206,False
101,155.30810994892036,0.0,14000.00000120308,0.0,14000.00000120308,155.30810994892036,0.011093436423969576,82.50212611713168,38.21861733200527,0.0,4.849729730071144,191,0,0,0.0,19,13.48617138746677,False
102,62.49831802748741,0.0,14000.000000000437,0.0,14000.000000000437,62.49831802748741,0.004464165573391818,28.5872280437169,12.392207417325288,0.0,5.6039817659377125,91,4,1,2.814020985760575,31,6.46026350911827,False
103,138.88685348778455,0.5031066422399141,13997.624302140883,1.4265024299615254e-06,13997.624293099481,138.88685348778455,0.009922173118779305,65.22227929490947,25.403584884241795,0.20482891606204945,5.126790959864587,184,4,0,17.578452200983843,29,11.896571117493925,False
104,31.974449935887726,0.0,13999.99999999999,0.0,13999.99999999999,31.974449935887726,0.0022838892811348393,12.724764058499003,5.900276150180612,0.0,5.822225882023512,43,0,0,0.0,28,1.5164555027506064,False
105,62.081128158382064,0.0,13999.999999999955,0.0,13999.999999999955,62.081128158382064,0.004434366297027305,48.665585736365244,19.54416846009027,0.0,4.726582370950732,72,0,0,0.0,33,2.6105462993155095,False
106,68.28510753954241,0.0,13999.999999996135,0.0,13999.999999996135,68.28510753954241,0.004877507681397233,54.72082921414708,25.800153472443277,0.0,5.293355361653389,101,4,0,0.43193231007364286,42,3.8372583061645678,False
107,52.97257933977732,0.0,13999.999999995494,0.0,13999.999999995494,52.97257933977732,0.003783755667128169,15.203919450545309,6.6285555859611875,0.0,5.750924718717184,78,0,0,0.0,20,3.696231860067107,False
108,62.05849823523484,0.0,13999.999999999967,0.0,13999.999999999967,62.05849823523484,0.004432749873945356,22.718560965094706,9.371730972055316,0.0,4.675681402389319,84,2,0,1.7392198617733323,19,5.840252405720915,False
109,54.03044214643631,0.0,14000.000007659186,0.0,14000.000007659186,54.03044214643631,0.0038593172940626485,28.76660908932457,11.985314567540915,0.0,5.436017855474017,85,0,0,0.0,34,3.6497410227165896,False
110,32.98037949648935,0.0,14000.000000000071,0.0,14000.000000000071,32.98037949648935,0.00235574139260637,14.195899546080003,5.565071364564797,0.0,6.3481607150689365,53,0,0,0.0,29,1.1501365606591154,False
